"geneNames","logpPred","t0LUADoverLUSC","mStop","deviance","aic"
"DSG3",-212,0.01,5,40.1,68.1
"KRT5",-210,0.0107,4,12.5,38.2
"DSC3",-197,0.0175,6,41.5,72.1
"CALML3",-195,0.0138,6,57.8,90
"TP63",-193,0.0308,6,24.2,55.1
"ATP1B3",-193,0.225,5,28.6,57.7
"S1PR5",-190,0.0775,6,98.4,131
"KRT6B",-185,0.0173,5,45.4,76.1
"TRIM29",-183,0.0788,6,39.3,72
"JAG1",-180,0.17,5,60.7,92.2
"PVRL1",-180,0.11,6,8.33,39.2
"CLCA2",-178,0.0138,7,51.6,86.8
"BNC1",-178,0.0244,7,76.8,112
"FAT2",-177,0.0339,7,53.5,89
"KRT6C",-177,0.0183,6,84.8,119
"AP2M1",-177,0.415,6,63.1,96.8
"KRT6A",-176,0.0261,6,68,102
"FAM83B",-174,0.0836,5,42.2,74
"GPR39",-174,5.16,6,42.5,75.9
"CSTA",-172,0.054,7,70.3,107
"ACSL5",-172,5.07,5,74.2,106
"RBM47",-172,2.35,6,65.2,98.8
"RORC",-172,6.34,5,60,92.1
"IRF6",-171,0.218,5,50.3,81.8
"DDAH1",-170,3.52,6,67.2,102
"PARD6G",-169,0.248,5,27,58.8
"PKP1",-169,0.045,6,56.2,89.9
"BICD2",-168,0.332,5,69,101
"PERP",-168,0.205,6,19.3,52.6
"GPC1",-167,0.158,7,40.7,76.5
"GBP6",-167,0.0335,6,25.8,59.7
"LOC642587",-166,0.0483,8,92.8,132
"DAPL1",-163,0.0149,7,94.1,132
"SH3BP1",-163,0.333,6,45.3,80.3
"KCNK5",-163,5.74,8,116,156
"HR",-161,0.059,7,97.4,136
"SERPINB5",-161,0.0805,6,82.4,118
"C3orf21",-160,0.271,6,86.4,122
"KRT16",-160,0.0177,7,67.7,105
"DLG1",-159,0.428,7,64.4,102
"MICALL1",-157,0.327,6,61.2,97.4
"NMNAT3",-157,0.247,6,69.3,105
"ARHGEF38",-157,5,8,134,174
"SMPDL3B",-157,5.46,8,109,150
"TMEM40",-156,0.0895,7,59.7,98.1
"VSNL1",-156,0.0755,10,182,228
"P2RY1",-154,0.136,6,51.3,87.3
"SIAH2",-153,0.341,6,45.1,80.3
"TMEM189",-153,0.42,7,58.4,95.9
"GJB5",-152,0.0808,6,60.8,97.1
"PCYT1A",-152,0.388,7,41.3,79.5
"TBCCD1",-151,0.413,7,133,173
"ADAM23",-151,0.0189,7,78.1,117
"STARD5",-150,0.298,8,60,99.5
